=== LOG DE CARGA A AIRTABLE ===
Fecha: 2026-06-19
Base ID: appfPbIIS3UgNvOKC
Table ID: tblfohS1ZEkvFkGFw

Batch 01: 50 registros - CARGADO EXITOSAMENTE
Batch 02: 50 registros - LISTO PARA CARGAR
Batch 03: 50 registros - LISTO PARA CARGAR
Batch 04: 50 registros - LISTO PARA CARGAR
Batch 05: 50 registros - LISTO PARA CARGAR
Batch 06: 50 registros - LISTO PARA CARGAR
Batch 07: 50 registros - LISTO PARA CARGAR
Batch 08: 50 registros - LISTO PARA CARGAR
Batch 09: 50 registros - LISTO PARA CARGAR
Batch 10: 50 registros - LISTO PARA CARGAR
Batch 11: 50 registros - LISTO PARA CARGAR
Batch 12: 50 registros - LISTO PARA CARGAR
Batch 13: 50 registros - LISTO PARA CARGAR
Batch 14: 50 registros - LISTO PARA CARGAR
Batch 15: 50 registros - LISTO PARA CARGAR
Batch 16: 50 registros - LISTO PARA CARGAR
Batch 17: 50 registros - LISTO PARA CARGAR
Batch 18: 50 registros - LISTO PARA CARGAR
Batch 19: 50 registros - LISTO PARA CARGAR
Batch 20: 50 registros - LISTO PARA CARGAR
Batch 21: 50 registros - LISTO PARA CARGAR
Batch 22: 50 registros - LISTO PARA CARGAR
Batch 23: 50 registros - LISTO PARA CARGAR
Batch 24: 50 registros - LISTO PARA CARGAR
Batch 25: 50 registros - LISTO PARA CARGAR
Batch 26: 50 registros - LISTO PARA CARGAR
Batch 27: 50 registros - LISTO PARA CARGAR
Batch 28: 50 registros - LISTO PARA CARGAR
Batch 29: 50 registros - LISTO PARA CARGAR
Batch 30: 50 registros - LISTO PARA CARGAR
Batch 31: 50 registros - LISTO PARA CARGAR
Batch 32: 50 registros - LISTO PARA CARGAR
Batch 33: 50 registros - LISTO PARA CARGAR
Batch 34: 50 registros - LISTO PARA CARGAR
Batch 35: 50 registros - LISTO PARA CARGAR
Batch 36: 50 registros - LISTO PARA CARGAR
Batch 37: 50 registros - LISTO PARA CARGAR
Batch 38: 50 registros - LISTO PARA CARGAR
Batch 39: 50 registros - LISTO PARA CARGAR
Batch 40: 50 registros - LISTO PARA CARGAR
Batch 41: 50 registros - LISTO PARA CARGAR
Batch 42: 50 registros - LISTO PARA CARGAR
Batch 43: 50 registros - LISTO PARA CARGAR
Batch 44: 50 registros - LISTO PARA CARGAR
Batch 45: 50 registros - LISTO PARA CARGAR
Batch 46: 50 registros - LISTO PARA CARGAR
Batch 47: 50 registros - LISTO PARA CARGAR
Batch 48: 50 registros - LISTO PARA CARGAR
Batch 49: 50 registros - LISTO PARA CARGAR
Batch 50: 50 registros - LISTO PARA CARGAR
Batch 51: 50 registros - LISTO PARA CARGAR
Batch 52: 50 registros - LISTO PARA CARGAR
Batch 53: 50 registros - LISTO PARA CARGAR
Batch 54: 50 registros - LISTO PARA CARGAR
Batch 55: 50 registros - LISTO PARA CARGAR
Batch 56: 50 registros - LISTO PARA CARGAR
Batch 57: 50 registros - LISTO PARA CARGAR
Batch 58: 50 registros - LISTO PARA CARGAR
Batch 59: 50 registros - LISTO PARA CARGAR
Batch 60: 50 registros - LISTO PARA CARGAR
Batch 61: 50 registros - LISTO PARA CARGAR
Batch 62: 50 registros - LISTO PARA CARGAR
Batch 63: 50 registros - LISTO PARA CARGAR
Batch 64: 50 registros - LISTO PARA CARGAR
Batch 65: 50 registros - LISTO PARA CARGAR
Batch 66: 39 registros - LISTO PARA CARGAR
